WMOID	HEIGHT	DATE	TIME	HEIGHT	N_DRY	N_WET	TEMPERATURE	PRESSURE	DEWPOINT	RHOWV
15420	195	2024-02-22	12:00:00	195	272.6643	32.49459	282.16	9980	274.16	0.005045436
15420	817	2024-02-22	12:00:00	817	258.1794	31.98117	276.16	9250	273.36	0.004865342
15420	896	2024-02-22	12:00:00	896	256.4058	31.9301	275.36	9160	273.26	0.004844196
15420	993	2024-02-22	12:00:00	993	253.933	27.25414	274.96	9050	271.06	0.004129084
15420	1136	2024-02-22	12:00:00	1136	249.6115	20.30169	275.16	8890	267.16	0.003077894
15420	1498	2024-02-22	12:00:00	1498	240.6565	15.09207	273.16	8500	263.16	0.002272257
15420	1765	2024-02-22	12:00:00	1765	233.8725	10.93852	272.06	8220	259.06	0.001640591
15420	2594	2024-02-22	12:00:00	2594	213.6392	4.945022	268.46	7400	249.46	0.000732327
15420	3031	2024-02-22	12:00:00	3031	204.7567	3.398355	265.06	7000	245.06	0.0004972044
15420	3802	2024-02-22	12:00:00	3802	188.7582	2.417181	260.06	6330	241.06	0.0003472916
15420	4411	2024-02-22	12:00:00	4411	176.0298	2.516775	257.26	5840	241.26	0.0003578875
15420	4993	2024-02-22	12:00:00	4993	166.2638	2.291199	251.86	5400	239.86	0.0003192811
15420	5089	2024-02-22	12:00:00	5089	163.9332	0.5554879	252.26	5330	226.26	0.00007752523
15420	5570	2024-02-22	12:00:00	5570	154.8988	0.3261954	250.46	5000	221.46	0.00004521441
15420	5629	2024-02-22	12:00:00	5629	153.7826	0.3191636	250.26	4960	221.26	0.00004420597
15420	6176	2024-02-22	12:00:00	6176	145.1666	0.4459774	245.86	4600	223.86	0.00006073244
15420	7092	2024-02-22	12:00:00	7092	131.6199	1.507314	238.06	4040	234.56	0.0001990307
15420	7160	2024-02-22	12:00:00	7160	130.6542	1.324948	237.46	4000	233.26	0.0001745285
15420	7195	2024-02-22	12:00:00	7195	130.2226	1.27524	237.06	3980	232.86	0.0001677098
15420	7941	2024-02-22	12:00:00	7941	119.0225	1.060837	232.66	3570	230.76	0.0001370324
15420	8391	2024-02-22	12:00:00	8391	112.5462	0.3340123	230.26	3340	220.26	0.00004271908
15420	8803	2024-02-22	12:00:00	8803	107.307	0.12476	227.06	3140	212.06	0.00001574373
15420	9110	2024-02-22	12:00:00	9110	103.6118	0.2567384	224.66	3000	217.66	0.00003206982
15420	9354	2024-02-22	12:00:00	9354	100.7996	0.255452	222.46	2890	217.46	0.00003160923
15420	10280	2024-02-22	12:00:00	10280	90.45534	0.1033047	214.46	2500	209.76	0.00001234091
15420	10305	2024-02-22	12:00:00	10305	90.17754	0.1048724	214.26	2490	209.86	0.00001251697
15420	10432	2024-02-22	12:00:00	10432	88.78188	0.08548853	213.26	2440	208.26	0.00001015763
15420	10561	2024-02-22	12:00:00	10561	87.29112	0.05870104	212.46	2390	205.46	0.000006949621
15420	10879	2024-02-22	12:00:00	10879	83.61652	0.06137139	210.66	2270	205.66	0.000007206556
