WMOID	HEIGHT	DATE	TIME	HEIGHT	N_DRY	N_WET	TEMPERATURE	PRESSURE	DEWPOINT	RHOWV
14240	10280	2024-02-08	12:00:00	10280	90.20506	0.05420716	215.06	2500	205.06	0.00000649307
14240	11071	2024-02-08	12:00:00	11071	81.73745	0.03638531	208.86	2200	201.86	0.000004237431
14240	11650	2024-02-08	12:00:00	11650	75.46353	0.02004713	205.66	2000	197.66	0.000002300251
14240	11680	2024-02-08	12:00:00	11680	75.01324	0.02063035	205.86	1990	197.86	0.000002369387
14240	12279	2024-02-08	12:00:00	12279	68.7863	0.03086098	203.06	1800	200.36	0.000003497937
14240	12379	2024-02-08	12:00:00	12379	67.7735	0.02709689	202.66	1770	199.46	0.000003065469
14240	123	2024-02-08	12:00:00	123	264.7893	39.60658	288.56	9930	277.56	0.006282016
14240	719	2024-02-08	12:00:00	719	252.3101	37.48813	282.16	9250	276.16	0.005820784
14240	1412	2024-02-08	12:00:00	1412	237.6217	35.32549	275.36	8500	274.66	0.005359318
14240	1421	2024-02-08	12:00:00	1421	237.3536	35.07277	275.36	8490	274.56	0.005320977
14240	1614	2024-02-08	12:00:00	1614	229.9987	20.15427	278.36	8290	267.36	0.003089308
14240	1673	2024-02-08	12:00:00	1673	228.6879	19.60269	277.96	8230	266.96	0.003000657
14240	1872	2024-02-08	12:00:00	1872	224.623	18.67005	276.16	8030	266.16	0.002840302
14240	1994	2024-02-08	12:00:00	1994	220.1963	20.29623	277.36	7910	267.36	0.003100446
14240	2138	2024-02-08	12:00:00	2138	217.0488	17.77443	276.56	7770	265.56	0.002707773
14240	2977	2024-02-08	12:00:00	2977	200.8238	17.19107	269.26	7000	264.46	0.002553111
14240	3460	2024-02-08	12:00:00	3460	191.5242	15.70782	265.46	6580	262.96	0.002301473
14240	3809	2024-02-08	12:00:00	3809	183.8248	8.837578	264.86	6290	255.86	0.001292073
14240	3883	2024-02-08	12:00:00	3883	182.1392	7.457134	264.86	6230	253.86	0.00109025
14240	4263	2024-02-08	12:00:00	4263	175.4262	5.876401	261.86	5930	250.86	0.0008498688
14240	5527	2024-02-08	12:00:00	5527	154.2633	4.437987	251.66	5010	246.86	0.0006179697
14240	5550	2024-02-08	12:00:00	5550	153.959	4.357678	251.66	5000	246.66	0.0006067869
14240	6252	2024-02-08	12:00:00	6252	142.7153	2.340542	246.66	4540	239.66	0.000319722
14240	6959	2024-02-08	12:00:00	6959	132.6614	1.777089	240.26	4110	236.36	0.0002367273
14240	7131	2024-02-08	12:00:00	7131	130.1057	1.280796	239.06	4010	233.06	0.0001698004
14240	7150	2024-02-08	12:00:00	7150	129.891	1.2565	238.86	4000	232.86	0.000166446
14240	7561	2024-02-08	12:00:00	7561	123.7894	0.7867729	236.26	3770	228.26	0.000103136
14240	7802	2024-02-08	12:00:00	7802	120.6437	0.7840395	234.06	3640	228.06	0.0001018611
14240	8226	2024-02-08	12:00:00	8226	114.5557	0.1139071	231.66	3420	211.66	0.00001465321
14240	8246	2024-02-08	12:00:00	8246	114.2208	0.1139071	231.66	3410	211.66	0.00001465321
14240	9076	2024-02-08	12:00:00	9076	104.2432	0.0863827	224.06	3010	209.06	0.00001076262
14240	9110	2024-02-08	12:00:00	9110	103.8974	0.07553256	224.06	3000	208.06	0.000009410779
14240	10280	2024-02-08	12:00:00	10280	90.20506	0.05420716	215.06	2500	205.06	0.00000649307
14240	11071	2024-02-08	12:00:00	11071	81.73745	0.03638531	208.86	2200	201.86	0.000004237431
14240	11650	2024-02-08	12:00:00	11650	75.46353	0.02004713	205.66	2000	197.66	0.000002300251
14240	11680	2024-02-08	12:00:00	11680	75.01324	0.02063035	205.86	1990	197.86	0.000002369387
14240	12279	2024-02-08	12:00:00	12279	68.7863	0.03086098	203.06	1800	200.36	0.000003497937
14240	12379	2024-02-08	12:00:00	12379	67.7735	0.02709689	202.66	1770	199.46	0.000003065469
